AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
9.131083,2.685759,0.900482,-0.32749,-0.385034,-0.539006,R1
9.035577,3.004851,1.020599,-0.33417,-0.384083,-0.440315,R1
8.94007,3.323943,1.140716,-0.340849,-0.383133,-0.341625,R1
8.844563,3.643035,1.260833,-0.347529,-0.382183,-0.242934,R1
9.176826,4.503599,1.062484,-0.323854,-0.384159,-0.254551,R1
9.535043,2.527566,1.59349,0.20873,-0.202994,-0.947843,R1
9.654072,2.756668,1.796624,0.22188,-0.199911,-0.887899,R1
9.817178,2.797643,1.905032,0.168015,-0.224459,-0.827125,R1
9.980284,2.838619,2.013441,0.114151,-0.249008,-0.766351,R1
10.143391,2.879595,2.12185,0.060287,-0.273556,-0.705577,R1
10.306497,2.920571,2.230258,0.006422,-0.298105,-0.644803,R1
8.866439,3.881865,1.687159,-0.301864,-0.410429,-0.484808,R1
8.815052,4.242162,1.535314,-0.296837,-0.403485,-0.460004,R1
8.763664,4.60246,1.383469,-0.291809,-0.39654,-0.4352,R1
8.712276,4.962758,1.231625,-0.286781,-0.389596,-0.410395,R1
9.110238,5.606821,1.328644,-0.302072,-0.394891,-0.41986,R1
9.5082,6.250884,1.425664,-0.317363,-0.400186,-0.429325,R1
9.429317,1.292889,0.768705,-0.114305,-0.24801,-0.626958,R1
9.380262,1.73236,0.946916,-0.089904,-0.2367,-0.580867,R1
9.331208,2.171831,1.125128,-0.065503,-0.225391,-0.534775,R1
9.577088,2.033885,1.084121,-0.079237,-0.228311,-0.533654,R1
9.822969,1.89594,1.043113,-0.092972,-0.231231,-0.532533,R1
10.06885,1.757994,1.002106,-0.106706,-0.234151,-0.531411,R1
9.715385,3.196723,1.834231,0.13798,-0.475629,-0.556512,R1
9.756422,3.6459,2.197721,0.089296,-0.469269,-0.523412,R1
9.804893,3.582772,1.971469,0.079498,-0.472142,-0.535536,R1
9.853365,3.519643,1.745217,0.069701,-0.475015,-0.54766,R1
9.901835,3.456515,1.518965,0.059903,-0.477888,-0.559784,R1
9.950307,3.393387,1.292713,0.050106,-0.480761,-0.571907,R1
9.411444,2.353609,1.763901,-0.204922,-0.170521,-0.37865,R1
9.623856,2.332758,1.708578,-0.166164,-0.176373,-0.381473,R1
9.836267,2.311908,1.653256,-0.127407,-0.182225,-0.384297,R1
10.048679,2.291057,1.597933,-0.088649,-0.188077,-0.38712,R1
10.261091,2.270206,1.54261,-0.049892,-0.193928,-0.389943,R1
10.277428,2.287968,1.376484,-0.027698,-0.186694,-0.418962,R1
9.818785,2.068787,-0.273043,0.045113,-0.515669,-1.001699,R1
9.620814,1.617762,-0.172299,0.037579,-0.491255,-0.927592,R1
9.422844,1.166736,-0.071556,0.030045,-0.466841,-0.853485,R1
9.674844,1.590822,0.121755,0.022594,-0.45904,-0.824014,R1
9.926844,2.014908,0.315066,0.015144,-0.45124,-0.794543,R1
10.178844,2.438993,0.508377,0.007693,-0.443439,-0.765071,R1
9.768312,2.234726,1.670902,0.046582,-0.39778,-0.38269,R2
9.623659,2.471476,1.79792,0.096266,-0.376369,-0.32821,R2
9.479006,2.708226,1.924938,0.14595,-0.354958,-0.27373,R2
8.859552,3.269255,1.465252,0.116024,-0.357002,-0.241637,R2
8.240099,3.830284,1.005566,0.086098,-0.359046,-0.209544,R2
7.620645,4.391314,0.545881,0.056172,-0.361091,-0.177451,R2
9.210869,3.668962,1.654278,0.026635,-0.347459,-0.843264,R1
9.197661,3.701473,1.902584,-0.003781,-0.330242,-0.709408,R1
8.537278,2.96176,1.443211,0.02048,-0.299215,-0.685543,R1
7.876896,2.222047,0.983838,0.044741,-0.268188,-0.661677,R1
7.216513,1.482334,0.524464,0.069002,-0.237161,-0.637812,R1
6.55613,0.742621,0.065091,0.093263,-0.206135,-0.613946,R1
10.476686,2.646249,1.107163,-0.50644,-0.299627,-0.94409,R1
10.220324,2.095537,0.673454,-0.414487,-0.277164,-0.957373,R1
9.963963,1.544825,0.239746,-0.322535,-0.254702,-0.970655,R1
9.707601,0.994113,-0.193963,-0.230582,-0.232239,-0.983938,R1
9.451239,0.443401,-0.627671,-0.13863,-0.209777,-0.99722,R1
9.501486,-0.062367,-0.164333,-0.204995,-0.201812,-0.992759,R1
10.306553,4.328084,1.070137,-0.478665,-0.471842,-0.791603,R1
10.736932,5.462481,0.9367,-0.476291,-0.468063,-0.689911,R1
11.167311,6.596879,0.803263,-0.473918,-0.464285,-0.588218,R1
11.597691,7.731277,0.669825,-0.471544,-0.460506,-0.486526,R1
12.028069,8.865674,0.536388,-0.469171,-0.456727,-0.384834,R1
12.774792,8.395273,0.431475,-0.462245,-0.453183,-0.377256,R1
9.69838,2.768666,1.231041,0.237483,-0.595275,-0.695577,R1
9.599045,2.82212,1.103405,0.269218,-0.582984,-0.640667,R1
9.49971,2.875575,0.975769,0.300953,-0.570693,-0.585756,R1
9.400374,2.92903,0.848133,0.332688,-0.558403,-0.530846,R1
9.301039,2.982485,0.720497,0.364423,-0.546112,-0.475936,R1
9.641281,3.347631,0.724663,0.371937,-0.529399,-0.503794,R1
8.945889,0.487978,1.684616,-0.202111,-0.230302,-0.618718,R1
9.023,-0.605896,1.614606,-0.118481,-0.199893,-0.528908,R1
9.10011,-1.69977,1.544595,-0.034851,-0.169484,-0.439099,R1
9.034902,-1.490446,1.637207,-0.127748,-0.193999,-0.429282,R1
8.969693,-1.281121,1.729818,-0.220644,-0.218515,-0.419465,R1
8.904485,-1.071796,1.822429,-0.31354,-0.24303,-0.409648,R1
10.453738,1.308998,1.578165,-0.17,-0.426682,-1.427713,R1
10.271635,1.325202,1.960515,-0.275088,-0.409236,-1.35005,R1
10.141716,1.737872,1.837127,-0.2235,-0.405107,-1.247253,R1
10.011796,2.150542,1.71374,-0.171912,-0.400978,-1.144455,R1
9.881876,2.563212,1.590353,-0.120324,-0.39685,-1.041658,R1
9.751957,2.975882,1.466965,-0.068737,-0.392721,-0.938861,R1
10.310231,1.920391,-0.225454,-0.048267,-0.294177,-0.897637,R1
10.247545,2.300864,0.050607,-0.071881,-0.261017,-0.820018,R1
10.0172,2.339083,0.243361,-0.085059,-0.246343,-0.79798,R1
9.786854,2.377303,0.436115,-0.098237,-0.231668,-0.775942,R1
9.556508,2.415522,0.628869,-0.111416,-0.216993,-0.753904,R1
9.326162,2.453741,0.821623,-0.124594,-0.202318,-0.731867,R1
8.48697,2.099704,1.67793,-0.016283,-0.259328,-0.472806,R1
8.52071,2.400349,1.672526,-0.049751,-0.257568,-0.458387,R1
8.554449,2.700994,1.667122,-0.083219,-0.255807,-0.443968,R1
8.588188,3.001639,1.661718,-0.116687,-0.254047,-0.429548,R1
8.621928,3.302284,1.656314,-0.150155,-0.252287,-0.415129,R1
8.837867,4.524979,1.532594,-0.158906,-0.260469,-0.372902,R1
10.973172,7.924675,1.493659,0.083149,-0.518841,-0.807706,R1
11.603893,8.805908,1.699254,0.092333,-0.531272,-0.799962,R1
11.418486,7.560664,1.299062,0.066677,-0.50304,-0.7276,R1
11.233078,6.315419,0.89887,0.04102,-0.474809,-0.655239,R1
11.047671,5.070175,0.498678,0.015364,-0.446577,-0.582878,R1
10.862264,3.82493,0.098487,-0.010292,-0.418345,-0.510516,R1
7.341802,3.309453,-1.36776,-0.282608,-0.511415,-0.790727,R1
7.418271,2.836977,-1.256104,-0.286209,-0.486406,-0.833485,R1
7.49474,2.364501,-1.144449,-0.28981,-0.461397,-0.876243,R1
7.506369,1.532678,-1.121006,-0.258296,-0.442421,-0.762454,R1
7.517998,0.700855,-1.097564,-0.226781,-0.423446,-0.648664,R1
7.529626,-0.130968,-1.074122,-0.195266,-0.40447,-0.534874,R1
8.845898,3.628322,-0.465143,-0.064197,-0.668628,-0.499306,R1
8.512227,2.63397,-0.714106,-0.087627,-0.609166,-0.470271,R1
8.178557,1.639618,-0.963068,-0.111057,-0.549703,-0.441235,R1
8.210356,1.013463,-0.695873,-0.078467,-0.510649,-0.526979,R1
8.242154,0.387307,-0.428677,-0.045877,-0.471595,-0.612723,R1
8.273952,-0.238849,-0.161481,-0.013288,-0.432541,-0.698467,R1
8.659,0.470701,1.874077,-0.067173,-0.630227,-0.557073,R2
8.696688,0.222584,2.525087,-0.060869,-0.606177,-0.540027,R2
8.734376,-0.025532,3.176097,-0.054565,-0.582126,-0.522981,R2
